station_name,latitude,longitude,distance_km
weather_source_24,31.72722222222222,36.019444444444446,97.41594879676605
weather_source_30,30.510555555555555,35.530833333333334,226.549330678498
weather_source_18,29.60388888888889,35.01888888888889,332.40043939394735
weather_source_1,32.411944,35.593056,16.632925251815077
weather_source_19,31.8375,36.78444444444444,132.2763944722219
weather_source_31,35.0,29.52,630.1174222990176
weather_source_25,31.24944444444445,36.04666666666667,148.86083690946484
weather_source_27,31.27555555555556,35.73888888888889,141.5997583855922
weather_source_3,31.058333333333334,35.493611111111115,166.2355995307677
weather_source_2,30.342222,36.135556,249.01424893059752
weather_source_26,32.04083333333333,35.744166666666665,57.10116705793434
weather_source_32,32.2666667,35.915,39.59732262301642
weather_source_22,32.35194444444445,36.256388888888885,60.25370995278639
weather_source_6,32.160555555555554,37.15472222222222,147.19347538510033
weather_source_7,32.50388888888889,38.19472222222222,238.18171810602792
weather_source_23,32.0025,36.215,80.18748854785665
weather_source_21,32.08416666666667,36.083333333333336,65.3167739751284
weather_source_5,32.53472222222222,35.85527777777778,18.426762736941107
weather_source_4,32.48888888888889,35.980555555555554,30.887917174094014
weather_source_20,32.16694444444444,36.29583333333333,73.43720553082149
weather_source_11,31.92638888888889,35.95388888888889,74.57259842421303
weather_source_9,31.968055555555555,35.985,71.50666769259054
weather_source_8,31.94611111111111,35.925555555555555,71.56884673031212
weather_source_12,31.98777777777778,35.82638888888889,64.36918127334398
weather_source_13,32.04722222222222,35.87222222222222,59.308877003527115
weather_source_17,32.62388888888889,35.611111111111114,9.318243423812586
weather_source_16,32.202222222222225,35.620555555555555,38.830325643622885
weather_source_28,30.17055555555556,35.765,264.09757226389394
weather_source_14,30.3175,35.47055555555556,248.27305717999224
weather_source_15,30.8475,35.62694444444445,188.88794938181618
weather_source_29,32.38027777777778,35.81166666666666,23.679707453586172
